platplc_short,jijigu,approvyear,platarea_py,bdarea_py,tyyyymm,tyyyymm,totalprc,etcprc
서울특별시 용산구 한남동,준주거,62.04.17,347.9,149.1,202103,202103,1949400,"토:5,617 만"
서울특별시 송파구 방이동,일반상업,94.11.04,229,999,202003,202003,1945000,"토:8,493 만"
서울특별시 송파구 방이동,준주거,92.06.09,173.6,810,202209,202209,1928800,"토:11,149 만"
서울특별시 용산구 한남동,준주거,78.05.31,100,281,202112,202112,1920000,"토:19,200 만"
서울특별시 서초구 서초동,일반상업,91.12.14,147,554,202012,202012,1910000,"토:12,993 만"
서울특별시 강동구 성내동,근린상업,02.07.19,249,123,202108,202108,1910000,"토:7,670 만"
서울특별시 강남구 대치동,일반상업,93.05.19,113,681,202009,202009,1900000,"토:16,814 만"
서울특별시 강남구 대치동,2종일반,91.08.30,208,992,202012,202012,1900000,"토:9,134 만"
서울특별시 강남구 역삼동,일반상업,91.08.26,125,483,202103,202103,1900000,"토:15,200 만"
서울특별시 강남구 청담동,3종일반,90.01.10,117,313,202104,202104,1900000,"토:16,239 만"
서울특별시 용산구 동빙고동,2종일반,98.08.14,137,825,202109,202109,1900000,"토:12,262 만"
서울특별시 강동구 암사동,준주거,80.08.23,236,451,202108,202108,1900000,"토:8,050 만"
서울특별시 구로구 고척동,준공업,88.07.25,441,223,202108,202108,1900000,"토:4,308 만"
서울특별시 강남구 신사동,2종일반,92.01.09,107,401,202109,202109,1900000,"토:17,757 만"
서울특별시 마포구 용강동,2종일반,04.05.27,228,855,202203,202203,1900000,"토:8,333 만"
서울특별시 강남구 역삼동,2종일반,12.05.18,145,360,202204,202204,1900000,"토:13,103 만"
서울특별시 강남구 신사동,2종일반,91.06.19,199,698,202009,202009,1897000,"토:9,532 만"
서울특별시 종로구 관수동,일반상업,�상,69,311,202201,202201,1895770,"토:27,474 만"
서울특별시 강남구 신사동,3종일반,84.07.06,108,308,202205,202205,1893600,"토:17,533 만"
서울특별시 영등포구 신길동,준주거,07.08.24,224,1084,202001,202001,1890000,"토:8,074 만
건:75 만"
서울특별시 서초구 서초동,일반상업,04.06.02,96,501,20211,202110,1880000,"토:19,583 만"
서울특별시 서초구 반포동,3종일반,05.01.14,210,810,202001,202001,1870000,"토:8,808 만
건:25 만"
서울특별시 동작구 노량진동,일반상업,13.02.28,146,1079,202105,202105,1870000,"토:10,462 만
건:317 만"
서울특별시 강남구 청담동,3종일반,08.02.14,142,379,202011,202011,1860000,"토:12,831 만
건:100 만"
서울특별시 서초구 서초동,일반상업,92.10.08,100,268,202111,202111,1855000,"토:18,550 만"
서울특별시 강서구 화곡동,3종일반,08.08.22,405,1671,202208,202208,1850400,"토:4,362 만
건:50 만"
서울특별시 서초구 서초동,일반상업,91.05.31,163,770,202007,202007,1850000,"토:11,349 만"
서울특별시 관악구 봉천동,준주거,77.12.08,215,468,202011,202011,1850000,"토:8,604 만"
서울특별시 중구 을지로2가,중심상업,54.06.30,114,226.2,202011,202011,1850000,"토:16,228 만"
서울특별시 금천구 독산동,2종일반,03.10.21,740,2640,202101,202101,1850000,"토:2,500 만"
서울특별시 서초구 방배동,3종일반,94.12.30,205.4,346,202104,202104,1850000,"토:9,024 만"
서울특별시 서초구 잠원동,3종일반,20.02.20,74,290,202205,202205,1850000,"토:23,628 만
건:350 만"
서울특별시 강남구 논현동,1종일반,22.03.03,101.9,249,202203,202203,1850000,"토:17,393 만
건:374 만"
서울특별시 마포구 서교동,2종일반,84.08.31,250,564,202305,202305,1850000,"토:7,400 만"
서울특별시 강남구 역삼동,노선상업,91.02.12,120,352,202008,202008,1840000,"토:15,333 만"
서울특별시 서대문구 창천동,2종일반,90.02.23,188,483,202103,202103,1840000,"토:9,787 만"
서울특별시 성동구 행당동,3종일반,59.05.10,370,283,202203,202203,1840000,"토:4,972 만"
서울특별시 강남구 신사동,2종일반,07.11.23,104,327,202205,202205,1840000,"토:17,613 만
건:25 만"
서울특별시 강남구 논현동,3종일반,78.01.17,180,124,202105,202105,1835913,"토:10,199 만"
서울특별시 서초구 양재동,3종일반,07.11.26,181,754,202105,202105,1830000,"토:9,902 만
건:50 만"
서울특별시 광진구 화양동,준주거,90.09.27,108.7,224,202107,202107,1830000,"토:16,944 만"
서울특별시 송파구 문정동,3종일반,97.05.21,218,907,202108,202108,1830000,"토:8,394 만"
서울특별시 강남구 신사동,2종일반,01.05.26,103,317,20211,202110,1830000,"토:17,766 만"
서울특별시 마포구 서교동,3종일반,05.05.12,137,505,202207,202207,1830000,"토:13,357 만"
서울특별시 강남구 역삼동,3종일반,80.03.18,140,338,202209,202209,1830000,"토:13,071 만"
서울특별시 강남구 신사동,3종일반,86.11.28,106,245,202211,202211,1830000,"토:17,264 만"
서울특별시 강남구 청담동,3종일반,00.06.12,111,354,202303,202303,1830000,"토:16,486 만"
서울특별시 중랑구 면목동,3종일반,21.07.19,225,873,202204,202204,1822000,"토:6,545 만
건:400 만"
서울특별시 강남구 논현동,3종일반,82.03.23,190,474,202004,202004,1820000,"토:9,578 만"
서울특별시 양천구 목동,3종일반,93.06.16,356,567,202004,202004,1820000,"토:5,112 만"
서울특별시 강동구 성내동,3종일반,97.06.20,181,901,20211,202110,1820000,"토:10,055 만"
서울특별시 노원구 상계동,준주거,89.12.30,266,980,202005,202005,1810062,"토:6,804 만"
서울특별시 서초구 반포동,3종일반,84.08.06,259.6,488,202007,202007,1810000,"토:6,988 만"
서울특별시 강남구 도곡동,3종일반,92.12.30,187,433,202103,202103,1810000,"토:9,679 만"
서울특별시 서초구 서초동,일반상업,89.06.14,63,203,202112,202112,1808895,"토:28,712 만"
서울특별시 중구 묵정동,2종일반,01.03.16,425.4,2135,202105,202105,1801879,"토:4,239 만"
서울특별시 성동구 성수동2,준공업,71.10.15,300,440,202007,202007,1800000,"토:6,000 만"
서울특별시 강남구 논현동,1종일반,00.08.26,276.7,665.8,202011,202011,1800000,"토:6,521 만"
서울특별시 서초구 서초동,3종일반,94.10.14,202,753,202011,202011,1800000,"토:8,910 만"
서울특별시 중구 다동,일반상업,20.10.07,110,325,202012,202012,1800000,"토:15,168 만
건:404 만"
서울특별시 은평구 갈현동,3종일반,97.10.07,333.5,1493,202103,202103,1800000,"토:5,405 만"
서울특별시 강남구 청담동,3종일반,89.10.28,112,296,202104,202104,1800000,"토:16,071 만"
서울특별시 성동구 용답동,일반상업,82.02.12,217,330,202104,202104,1800000,"토:8,294 만"
서울특별시 강남구 논현동,2종일반,21.04.26,155,425,202103,202103,1800000,"토:10,516 만
건:400 만"
서울특별시 용산구 한강로2,일반상업,85.09.06,98,230,202107,202107,1800000,"토:18,367 만"
서울특별시 강남구 대치동,3종일반,03.05.16,99,427,20211,202110,1800000,"토:18,181 만"
서울특별시 동대문구 장안동,일반상업,83.12.30,296,778,202108,202108,1800000,"토:6,081 만"
서울특별시 강남구 삼성동,일반상업,81.02.04,108,278,202112,202112,1800000,"토:16,666 만"
서울특별시 동작구 상도동,준주거,88.03.22,150,363,202111,202111,1800000,"토:12,000 만"
서울특별시 마포구 신수동,2종일반,84.04.11,327.6,602.8,202111,202111,1800000,"토:5,504 만"
서울특별시 서초구 서초동,일반상업,97.09.13,116,83,202103,202103,1800000,"토:15,517 만"
서울특별시 서초구 서초동,일반상업,84.12.24,91,171,202112,202112,1800000,"토:19,780 만"
서울특별시 송파구 문정동,3종일반,07.11.15,207,783,202202,202202,1800000,"토:8,695 만"
서울특별시 용산구 한남동,3종일반,65.12.07,145,84,202205,202205,1800000,"토:12,413 만"
서울특별시 동대문구 신설동,일반상업,09.11.30,282.8,503,202206,202206,1800000,"토:6,249 만
건:75 만"
서울특별시 강남구 청담동,2종일반,03.09.09,85.6,247,202303,202303,1800000,"토:21,176 만"
서울특별시 서초구 서초동,3종일반,87.02.28,124,415,202304,202304,1800000,"토:14,516 만"
서울특별시 강남구 청담동,2종일반,87.09.11,125,155,202305,202305,1800000,"토:14,400 만"
서울특별시 강북구 미아동,3종일반,86.12.29,514.2,705.6,202103,202103,1796000,"토:3,494 만"
서울특별시 강남구 논현동,1종일반,15.12.24,135,439,202204,202204,1790000,"토:12,287 만
건:298 만"
서울특별시 광진구 화양동,3종일반,96.10.04,197,161,202204,202204,1790000,"토:9,086 만"
서울특별시 강남구 신사동,2종일반,96.12.05,106,209,202201,202201,1785000,"토:16,839 만"
서울특별시 성북구 동선동2,2종일반,97.04.02,303,1154,202112,202112,1784727,"토:5,890 만"
서울특별시 광진구 구의동,3종일반,98.09.07,209,942,202011,202011,1780000,"토:8,516 만"
서울특별시 영등포구 양평동,준공업,77.04.04,297,779,202103,202103,1780000,"토:5,993 만"
서울특별시 성동구 성수동2,준공업,75.07.12,105,199,202205,202205,1780000,"토:16,952 만"
서울특별시 강남구 청담동,3종일반,91.11.29,75,237,202206,202206,1780000,"토:23,733 만"
서울특별시 강남구 청담동,2종일반,98.07.25,101,256,20211,202110,1775000,"토:17,574 만"
서울특별시 강서구 등촌동,3종일반,97.04.22,258,1337,202206,202206,1771633,"토:6,866 만"
서울특별시 강남구 논현동,3종일반,21.06.30,129,422,202101,202101,1770000,"토:13,720 만"
서울특별시 중구 황학동,일반상업,60.12.25,139,569,202107,202107,1770000,"토:12,733 만"
서울특별시 용산구 이촌동,2종일반,55.12.01,235.5,126,202203,202203,1770000,"토:7,531 만"
서울특별시 성동구 성수동2,준공업,85.09.21,187,483,202012,202012,1768400,"토:9,456 만"
서울특별시 관악구 신림동,일반상업,90.12.28,179,623,202101,202101,1765000,"토:9,860 만"
서울특별시 관악구 봉천동,준주거,78.01.21,251,249,202204,202204,1761397,"토:7,017 만"
서울특별시 강남구 역삼동,3종일반,19.07.19,124,419.1,202103,202103,1760000,"토:12,913 만
건:401 만"
서울특별시 종로구 소격동,1종일반,91.12.31,242.3,234.2,202004,202004,1755664,"토:7,254 만"
서울특별시 용산구 청파동3,2종일반,99.07.13,189.8,883,202102,202102,1755000,"토:9,285 만"
서울특별시 서초구 서초동,일반상업,95.08.16,88,85,202011,202011,1754375,"토:19,936 만"
서울특별시 강남구 논현동,3종일반,83.05.18,138,334,20201,202010,1750000,"토:12,681 만"
서울특별시 강남구 논현동,준주거,80.11.29,100,240,202012,202012,1750000,"토:17,500 만"
서울특별시 종로구 사직동,1종일반,,970,461,202011,202011,1750000,"토:1,804 만"
서울특별시 마포구 대흥동,3종일반,83.10.17,269,475,202103,202103,1750000,"토:6,505 만"
서울특별시 송파구 송파동,3종일반,08.07.14,250,903,202104,202104,1750000,"토:6,729 만
건:75 만"
서울특별시 강남구 신사동,3종일반,82.10.20,142,271,202105,202105,1750000,"토:12,323 만"
서울특별시 강남구 청담동,3종일반,90.03.17,102,260,202106,202106,1750000,"토:17,156 만"
서울특별시 강남구 논현동,준주거,92.08.18,100,425,202107,202107,1750000,"토:17,500 만"
서울특별시 서초구 서초동,일반상업,92.01.30,81,248,202107,202107,1750000,"토:21,604 만"
서울특별시 서초구 서초동,일반상업,97.09.13,140.7,83,202101,202101,1750000,"토:12,500 만"
서울특별시 송파구 가락동,3종일반,88.10.31,172.3,490,202202,202202,1750000,"토:10,115 만"
서울특별시 동대문구 휘경동,준주거,94.05.02,299,302,202203,202203,1750000,"토:5,852 만"
서울특별시 강남구 논현동,2종일반,04.05.11,141,492,202204,202204,1750000,"토:12,411 만"
서울특별시 동작구 노량진동,일반상업,92.01.30,192,570,202206,202206,1750000,"토:9,114 만"
서울특별시 서초구 방배동,2종일반,15.12.03,222,419,202011,202011,1745000,"토:7,123 만
건:366 만"
서울특별시 마포구 서교동,2종일반,07.06.15,129,344,202111,202111,1741458,"토:13,366 만
건:50 만"
서울특별시 강남구 신사동,3종일반,04.12.01,94,361,202007,202007,1740000,"토:18,510 만"
서울특별시 강남구 역삼동,3종일반,09.07.23,221,1071,202011,202011,1740000,"토:7,267 만
건:125 만"
서울특별시 용산구 이태원동,준주거,82.05.20,132,249,202012,202012,1740000,"토:13,181 만"
서울특별시 강남구 신사동,3종일반,99.11.12,96,297,202104,202104,1740000,"토:18,125 만"
서울특별시 강남구 대치동,일반상업,91.11.01,98,535,202002,202002,1730000,"토:17,653 만"
서울특별시 강남구 신사동,2종일반,89.02.08,114,346,202003,202003,1730000,"토:15,175 만"
서울특별시 강남구 신사동,1종일반,07.12.14,131,281,202007,202007,1730000,"토:13,045 만
건:75 만"
서울특별시 강남구 역삼동,1종일반,95.06.09,316,607,202001,202001,1730000,"토:5,474 만"
서울특별시 강남구 신사동,1종일반,76.07.02,75,74,202204,202204,1730000,"토:23,066 만"
서울특별시 강남구 도곡동,3종일반,73.08.28,250,153,202102,202102,1723000,"토:6,892 만"
서울특별시 강남구 역삼동,일반상업,07.12.28,137,605,202002,202002,1720000,"토:12,223 만
건:75 만"
서울특별시 종로구 동숭동,3종일반,86.07.19,151.1,495,202104,202104,1720000,"토:11,466 만"
서울특별시 강남구 논현동,2종일반,90.12.18,117,412,202203,202203,1720000,"토:14,700 만"
서울특별시 강남구 역삼동,3종일반,95.10.07,86,259,202208,202208,1720000,"토:20,000 만"
서울특별시 성동구 행당동,2종일반,08.01.17,248,367,20221,202210,1720000,"토:6,861 만
건:50 만"
서울특별시 강남구 삼성동,일반상업,02.10.08,134,595,202303,202303,1720000,"토:12,835 만"
서울특별시 강동구 길동,일반상업,07.05.18,318,233,202002,202002,1716656,"토:5,343 만
건:75 만"
서울특별시 강남구 신사동,3종일반,85.01.15,96,290,202105,202105,1715000,"토:17,864 만"
서울특별시 강남구 대치동,3종일반,92.01.01,205,83.3,202101,202101,1710000,"토:8,292 만"
서울특별시 서초구 방배동,3종일반,07.06.19,156,643,202109,202109,1710000,"토:10,755 만
건:50 만"
서울특별시 강남구 논현동,3종일반,78.06.10,175,264,202002,202002,1700000,"토:9,714 만"
서울특별시 마포구 서교동,준주거,84.05.03,222,447.5,202007,202007,1700000,"토:7,657 만"
서울특별시 관악구 신림동,2종일반,07.10.10,447,1361,202004,202004,1700000,"토:3,574 만
건:75 만"
서울특별시 강남구 대치동,일반상업,09.08.07,98,604,202006,202006,1700000,"토:16,576 만
건:125 만"
서울특별시 강북구 수유동,일반상업,85.02.01,226,450,202007,202007,1700000,"토:7,522 만"
서울특별시 강남구 역삼동,3종일반,15.12.30,124,473,202008,202008,1700000,"토:12,622 만
건:285 만"
서울특별시 강남구 대치동,3종일반,84.12.13,161,529,202009,202009,1700000,"토:10,559 만"
서울특별시 강남구 청담동,준주거,91.03.16,106,461,20201,202010,1700000,"토:16,037 만"
서울특별시 광진구 자양동,일반상업,07.11.21,164,1172,202003,202003,1700000,"토:9,829 만
건:75 만"
서울특별시 중랑구 상봉동,일반상업,95.12.19,202,670,202103,202103,1700000,"토:8,415 만"
서울특별시 강남구 신사동,2종일반,05.01.29,138,448,202103,202103,1700000,"토:12,318 만"
서울특별시 강남구 신사동,1종일반,15.05.13,106,220,202106,202106,1700000,"토:15,518 만
건:250 만"
서울특별시 강서구 공항동,3종일반,09.02.13,227.8,524,20211,202110,1700000,"토:7,258 만
건:100 만"
서울특별시 관악구 신림동,3종일반,80.11.17,128.7,302,202201,202201,1700000,"토:13,281 만"
서울특별시 용산구 이태원동,2종일반,90.10.29,170,535,202205,202205,1700000,"토:10,000 만"
서울특별시 강남구 삼성동,3종일반,87.11.17,95.7,187,202209,202209,1700000,"토:17,894 만"
서울특별시 강남구 삼성동,3종일반,04.08.31,83,295,202209,202209,1700000,"토:20,481 만"
서울특별시 강남구 청담동,2종일반,09.02.10,97,180,202211,202211,1700000,"토:17,386 만
건:75 만"
서울특별시 강남구 청담동,3종일반,01.02.23,93,233,202302,202302,1700000,"토:18,279 만"
서울특별시 강남구 논현동,2종일반,21.09.06,122,359,202109,202109,1700000,"토:12,696 만
건:420 만"
서울특별시 송파구 방이동,3종일반,90.12.31,198,636,202305,202305,1700000,"토:8,585 만"
서울특별시 성동구 용답동,준주거,87.10.17,200,601,202305,202305,1700000,"토:8,500 만"
서울특별시 강서구 공항동,근린상업,94.09.17,252,354,202005,202005,1699500,"토:6,744 만"
서울특별시 중랑구 중화동,3종일반,21.03.22,245,1212,202208,202208,1694279,"토:4,936 만
건:400 만"
서울특별시 중구 을지로3가,일반상업,93.11.15,147,195,202109,202109,1693120,"토:11,517 만"
서울특별시 중구 다동,일반상업,61.07.20,80,104,202112,202112,1690400,"토:21,130 만"
서울특별시 강남구 논현동,일반상업,07.03.18,68,617,202005,202005,1690000,"토:21,995 만
건:314 만"
서울특별시 강남구 신사동,2종일반,97.06.30,119,154,202103,202103,1690000,"토:14,201 만"
서울특별시 송파구 삼전동,3종일반,93.10.11,205,760,202106,202106,1685000,"토:8,219 만"
서울특별시 종로구 교남동,일반상업,78.12.26,152,443,20201,202010,1681500,"토:11,062 만"
서울특별시 강남구 삼성동,3종일반,91.02.09,163,497,202111,202111,1680000,"토:10,306 만"
서울특별시 강남구 논현동,3종일반,08.02.13,117,378,20221,202210,1680000,"토:14,197 만
건:50 만"
서울특별시 영등포구 대림동,준주거,04.10.05,223,1217,202304,202304,1680000,"토:7,533 만"
서울특별시 송파구 방이동,준주거,22.02.23,106,477,202203,202203,1670000,"토:13,954 만
건:400 만"
서울특별시 강남구 신사동,3종일반,21.11.03,65,203,202205,202205,1670000,"토:24,387 만
건:417 만"
서울특별시 서초구 서초동,일반상업,12.04.06,111,600,202002,202002,1656700,"토:13,390 만
건:284 만"
서울특별시 서초구 서초동,일반상업,89.06.02,58,158,202112,202112,1655280,"토:28,539 만"
서울특별시 강남구 신사동,2종일반,92.12.29,109,446,202008,202008,1650000,"토:15,137 만"
서울특별시 서초구 서초동,일반상업,02.03.05,117,658,20201,202010,1650000,"토:14,102 만"
서울특별시 강남구 개포동,2종일반,94.07.04,246,951,202103,202103,1650000,"토:6,707 만"
서울특별시 용산구 한남동,3종일반,14.01.13,127,395,202105,202105,1650000,"토:12,292 만
건:225 만"
서울특별시 송파구 거여동,준주거,16.01.18,164,714,202107,202107,1650000,"토:8,863 만
건:275 만"
서울특별시 관악구 신림동,3종일반,76.09.27,309,900,202106,202106,1650000,"토:5,339 만"
서울특별시 영등포구 양평동,준공업,�상,337,172,202109,202109,1650000,"토:4,896 만"
서울특별시 서초구 방배동,3종일반,92.07.09,155,651,202111,202111,1650000,"토:10,645 만"
서울특별시 서초구 서초동,일반상업,87.05.30,58,177,202204,202204,1650000,"토:28,448 만"
서울특별시 강남구 청담동,2종일반,00.12.21,111,330,202103,202103,1645000,"토:14,819 만"
서울특별시 성동구 성수동2,준공업,93.07.10,126,347,202111,202111,1640000,"토:13,015 만"
서울특별시 강남구 논현동,3종일반,13.11.29,148,492,202008,202008,1630000,"토:10,298 만
건:215 만"
서울특별시 동대문구 휘경동,준주거,84.09.05,328,1186,202102,202102,1630000,"토:4,969 만"
서울특별시 동대문구 전농동,근린상업,93.01.29,465.5,59,202004,202004,1630000,"토:3,505 만"
서울특별시 서초구 서초동,3종일반,93.09.10,117,467,202111,202111,1630000,"토:13,931 만"
서울특별시 중구 신당동,2종일반,90.11.06,287.1,1105,202204,202204,1630000,"토:5,679 만"
서울특별시 마포구 합정동,일반상업,83.11.18,117.4,144,202102,202102,1628284,"토:13,916 만"
서울특별시 서초구 서초동,일반상업,88.09.22,150,232,202008,202008,1628000,"토:10,853 만"
서울특별시 송파구 문정동,3종일반,94.06.27,302,959,202001,202001,1620000,"토:5,364 만"
서울특별시 강남구 역삼동,일반상업,03.02.28,105,417,202104,202104,1620000,"토:15,428 만"
서울특별시 동대문구 장안동,일반상업,86.10.11,226,644,202103,202103,1620000,"토:7,168 만"
서울특별시 강남구 청담동,3종일반,87.01.17,99,236,202206,202206,1620000,"토:16,363 만"
서울특별시 강남구 역삼동,일반상업,95.05.23,101,377,202205,202205,1620000,"토:16,039 만"
서울특별시 송파구 삼전동,3종일반,96.04.23,256,511,202007,202007,1610000,"토:6,289 만"
서울특별시 강남구 논현동,2종일반,21.09.06,122,359,202303,202303,1610000,"토:12,104 만
건:371 만"
서울특별시 동대문구 휘경동,준주거,63.05.01,404,494,202003,202003,1607491,"토:3,978 만"
서울특별시 서초구 서초동,2종일반,96.06.05,143.4,565,202002,202002,1600000,"토:11,188 만"
서울특별시 강남구 신사동,2종일반,98.04.18,130,475,202007,202007,1600000,"토:12,307 만"
서울특별시 강서구 화곡동,3종일반,93.07.02,482,935,202101,202101,1600000,"토:3,319 만"
서울특별시 성동구 성수동1,준공업,97.12.16,150,541,202101,202101,1600000,"토:10,666 만"
서울특별시 강남구 역삼동,2종일반,03.10.20,209,771,202102,202102,1600000,"토:7,655 만"
서울특별시 강남구 논현동,2종일반,91.11.30,168,627,202105,202105,1600000,"토:9,523 만"
서울특별시 영등포구 문래동,준공업,81.12.18,336,1117.8,202106,202106,1600000,"토:4,761 만"
서울특별시 송파구 송파동,준주거,88.12.22,96,298,202108,202108,1600000,"토:16,666 만"
서울특별시 성동구 성수동2,준공업,90.03.26,166,410,202201,202201,1600000,"토:9,638 만"
서울특별시 서초구 양재동,3종일반,90.10.26,151,451,20211,202110,1600000,"토:10,596 만"
서울특별시 종로구 평창동,2종일반,03.11.17,302.2,1222,202101,202101,1600000,"토:5,298 만"
서울특별시 송파구 방이동,2종일반,97.05.27,244,826,202207,202207,1600000,"토:6,557 만"
서울특별시 강남구 논현동,2종일반,22.03.31,90,279,202205,202205,1596000,"토:16,457 만
건:411 만"
서울특별시 성동구 성수동2,준공업,68.08.28,236,264,202103,202103,1593000,"토:6,750 만"
서울특별시 용산구 갈월동,2종일반,83.03.16,212.7,594,202009,202009,1592500,"토:7,511 만"
서울특별시 마포구 합정동,일반상업,85.10.21,158.6,385,202105,202105,1586000,"토:10,037 만"
서울특별시 강남구 청담동,3종일반,91.08.09,83,258,202208,202208,1585000,"토:19,096 만"
서울특별시 노원구 상계동,준주거,88.09.16,231,466,202112,202112,1581000,"토:6,844 만"
서울특별시 성동구 행당동,일반상업,69.01.06,120.1,315,202204,202204,1580172,"토:13,168 만"
서울특별시 서초구 반포동,3종일반,93.02.22,250,1383,202003,202003,1580000,"토:6,320 만"
서울특별시 강남구 논현동,2종일반,04.12.27,149,454,202011,202011,1580000,"토:10,604 만"
서울특별시 강남구 역삼동,3종일반,86.08.05,96,247,20211,202110,1580000,"토:16,458 만"
서울특별시 강남구 신사동,3종일반,01.12.19,72,283,202204,202204,1580000,"토:21,944 만"
서울특별시 관악구 신림동,준주거,21.12.17,94,491,202209,202209,1580000,"토:14,849 만
건:375 만"
서울특별시 강서구 등촌동,3종일반,99.12.13,191,1043,202212,202212,1575000,"토:8,246 만"
서울특별시 중구 명동1가,중심상업,36.09.10,64,177,202105,202105,1573000,"토:24,578 만"
서울특별시 강서구 등촌동,준주거,97.11.05,234,1507,20201,202010,1570000,"토:6,709 만"
서울특별시 서초구 서초동,3종일반,08.11.04,184,646,202011,202011,1570000,"토:8,181 만
건:100 만"
서울특별시 양천구 신정동,일반상업,02.10.11,186,364,202104,202104,1570000,"토:8,440 만"
서울특별시 강남구 논현동,1종일반,00.09.22,115,314,202204,202204,1570000,"토:13,652 만"
서울특별시 서초구 방배동,2종일반,90.03.31,185,638,202204,202204,1570000,"토:8,486 만"
서울특별시 송파구 삼전동,3종일반,09.05.18,131,429,202206,202206,1570000,"토:11,739 만
건:75 만"
서울특별시 강남구 대치동,3종일반,88.11.19,104,251,202102,202102,1565000,"토:15,048 만"
서울특별시 강남구 논현동,1종일반,03.04.03,237,471,202002,202002,1560000,"토:6,582 만"
서울특별시 마포구 창전동,3종일반,15.07.09,220,419,202002,202002,1560000,"토:6,390 만
건:368 만"
서울특별시 강남구 신사동,2종일반,98.11.04,65,199,202202,202202,1560000,"토:24,615 만"
서울특별시 강남구 신사동,2종일반,82.03.17,104,75,202202,202202,1560000,"토:15,000 만"
서울특별시 강남구 신사동,2종일반,12.08.31,91,249,202204,202204,1560000,"토:16,800 만
건:125 만"
서울특별시 서초구 양재동,3종일반,09.10.13,130,153,202205,202205,1560000,"토:11,911 만
건:75 만"
서울특별시 강남구 역삼동,2종일반,99.12.31,145,715,202207,202207,1560000,"토:10,758 만"
서울특별시 용산구 한강로1,2종일반,69.12.01,146,329,202303,202303,1560000,"토:10,684 만"
서울특별시 중구 신당동,준주거,03.02.06,168,620,202104,202104,1555000,"토:9,255 만"
서울특별시 영등포구 신길동,일반상업,72.12.08,158.8,379,202208,202208,1555000,"토:9,841 만"
서울특별시 서대문구 창천동,준주거,87.02.27,294.3,605,202004,202004,1550000,"토:5,272 만"
서울특별시 강남구 역삼동,3종일반,03.07.08,190,762,202007,202007,1550000,"토:8,157 만"
서울특별시 성동구 용답동,일반상업,05.10.27,244,1492,202102,202102,1550000,"토:6,352 만"
서울특별시 중구 무교동,일반상업,70.08.29,47,551,202106,202106,1550000,"토:32,978 만"
서울특별시 강남구 도곡동,3종일반,95.04.21,108,507,20211,202110,1550000,"토:14,351 만"
서울특별시 성동구 성수동2,준공업,76.01.01,135,166,202203,202203,1550000,"토:11,481 만"
서울특별시 영등포구 양평동,준공업,00.07.08,522,962,202109,202109,1547400,"토:2,964 만"
서울특별시 강남구 청담동,일반상업,92.12.30,107,304,202005,202005,1540000,"토:14,392 만"
서울특별시 강남구 신사동,1종일반,06.07.31,107.7,272,202104,202104,1540000,"토:14,328 만
건:25 만"
서울특별시 마포구 합정동,2종일반,17.05.04,135,522,202111,202111,1535000,"토:10,203 만
건:301 만"
서울특별시 서초구 서초동,2종일반,93.08.24,302,1301,202007,202007,1530000,"토:5,066 만"
서울특별시 마포구 상수동,3종일반,06.04.27,590.8,435,202105,202105,1530000,"토:2,574 만
건:25 만"
서울특별시 종로구 내수동,2종일반,80.11.18,269.3,104,202001,202001,1525000,"토:5,690 만"
서울특별시 성동구 성수동1,준공업,91.03.18,155.4,414,202012,202012,1525000,"토:9,838 만"
서울특별시 서초구 양재동,일반상업,95.07.12,109,562,20201,202010,1520000,"토:13,944 만"
서울특별시 강남구 청담동,2종일반,07.01.18,119,321,202102,202102,1520000,"토:12,773 만"
서울특별시 광진구 구의동,2종일반,95.02.20,265,989,202107,202107,1520000,"토:5,735 만"
서울특별시 중구 태평로2가,일반상업,30.10.28,67,99,202203,202203,1520000,"토:22,686 만"
서울특별시 강남구 역삼동,2종일반,90.11.29,119,323,202002,202002,1510000,"토:12,689 만"
서울특별시 강남구 신사동,3종일반,07.08.14,123,386,202009,202009,1510000,"토:12,041 만
건:75 만"
서울특별시 강남구 역삼동,3종일반,02.03.13,153,561,202103,202103,1510000,"토:9,869 만"
서울특별시 종로구 종로5가,일반상업,67.09.03,114.3,456,202106,202106,1510000,"토:13,245 만"
서울특별시 서초구 반포동,2종일반,07.07.20,132,430,202007,202007,1505000,"토:11,157 만
건:75 만"
서울특별시 중구 을지로5가,일반상업,84.07.23,273,584,202008,202008,1500000,"토:5,494 만"
서울특별시 은평구 응암동,근린상업,08.04.24,436.8,936.8,202001,202001,1500000,"토:3,187 만
건:118 만"
서울특별시 송파구 문정동,3종일반,10.05.12,238,610,202001,202001,1500000,"토:5,918 만
건:150 만"
서울특별시 강남구 역삼동,일반상업,90.09.26,123,603,202001,202001,1500000,"토:12,195 만"
서울특별시 성동구 용답동,일반상업,92.11.26,220,84,202002,202002,1500000,"토:6,818 만"
서울특별시 마포구 용강동,2종일반,04.05.27,238.1,855,202002,202002,1500000,"토:6,302 만"
서울특별시 서초구 잠원동,3종일반,15.12.31,143,552,202003,202003,1500000,"토:9,234 만
건:325 만"
서울특별시 중구 충무로5가,일반상업,75.08.19,173.7,936,202007,202007,1500000,"토:8,670 만"
서울특별시 강남구 논현동,3종일반,17.06.13,141,549,202009,202009,1500000,"토:9,226 만
건:362 만"
서울특별시 서초구 서초동,일반상업,87.08.19,100,249,20201,202010,1500000,"토:15,000 만"
